input_text,target_text
translate question to dbpedia path: Is GIMP written in C?,ASK >> dbr:GIMP >> dbo:programmingLanguage >> dbr:C_(programming_language)
translate question to dbpedia path: Who is relative of the people died in Bergen-Belsen concentration camp ?,[VAR1] >> dbo:relative >> [ANS] [SEP] [VAR1] >> dbp:deathPlace >> dbr:Bergen-Belsen_concentration_camp
translate question to dbpedia path: In which state can I find Burr Truss styled bridges?,[VAR1] >> dbo:state >> [ANS] [SEP] [VAR1] >> dbp:style >> dbr:Burr_Truss [SEP] [VAR1] >> rdf:type >> dbo:Bridge
translate question to dbpedia path: Which info. appliance is manufactured by Asus and is the predecessor of PS 2?,[ANS] >> dbo:manufacturer >> dbr:Asus [SEP] [ANS] >> dbp:predecessor >> dbr:PlayStation_2 [SEP] [ANS] >> rdf:type >> dbo:InformationAppliance
translate question to dbpedia path: Which cover artist of the The Adventures of Tom Sawyer also the source of inspiration of The Appple Tree ?,dbr:The_Adventures_of_Tom_Sawyer >> dbo:coverArtist >> [ANS] [SEP] dbr:The_Apple_Tree >> dbo:basedOn >> [ANS]
translate question to dbpedia path: Which university of Alexandre Tichonov is the place of death of Valentin Muratov /,dbr:Alexandre_Tichonov >> dbp:university >> [ANS] [SEP] dbr:Valentin_Muratov >> dbp:placeOfDeath >> [ANS]
translate question to dbpedia path: What kind of music is produced at the record label founded by Andre Bourgeois?,[VAR1] >> dbo:genre >> [ANS] [SEP] [VAR1] >> dbp:founder >> dbr:André_Bourgeois [SEP] [VAR1] >> rdf:type >> dbo:RecordLabel
translate question to dbpedia path: What is the place of death of the lieutenant of Frank Steunenberg?,[VAR1] >> dbp:placeOfDeath >> [ANS] [SEP] dbr:Frank_Steunenberg >> dbp:lieutenant >> [VAR1]
translate question to dbpedia path: How many titles have been won by the beauty queens which had brown hair?,COUNT >> [VAR1] >> dbp:hairColor >> dbr:Brown_hair [SEP] [VAR1] >> dbp:title >> [ANS]
translate question to dbpedia path: What are the border of High Desert (Oregon)?,dbr:High_Desert_(Oregon) >> dbo:border >> [ANS]
translate question to dbpedia path: What is the location city of Burnside Distribution Corporation ?,dbr:Burnside_Distribution_Corporation >> dbo:locationCity >> [ANS]
translate question to dbpedia path: Which country's people work in the Birdman enterprises?,[VAR1] >> dbo:institution >> dbr:Birdman_Enterprises [SEP] [VAR1] >> dbp:nationality >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Engineer
translate question to dbpedia path: Where is Oskar Blues located ?,dbr:Oskar_Blues_Brewery >> dbp:location >> [ANS]
translate question to dbpedia path: Paul Leonard's work can be divided into how many series?,COUNT >> [VAR1] >> dbo:series >> [ANS] [SEP] [VAR1] >> dbp:author >> dbr:Paul_Leonard_(writer)
translate question to dbpedia path: Who  won the Lovelace Medal and the Norbert Wiener Award for Social and Professional Responsibility?,[ANS] >> dbp:prizes >> dbr:Lovelace_Medal [SEP] [ANS] >> dbp:prizes >> dbr:Norbert_Wiener_Award_for_Social_and_Professional_Responsibility
"translate question to dbpedia path: List the sports associated with Mariveles, Bataan?","[VAR1] >> dbo:sport >> [ANS] [SEP] [VAR1] >> dbp:city >> dbr:Mariveles,_Bataan"
translate question to dbpedia path: Which holy places did consider Pope Gregory I as a saint?,dbr:Pope_Gregory_I >> dbp:veneratedIn >> [ANS]
translate question to dbpedia path: Which incumbent of Al Gore presidential campaign wass also the president of Mike McCurry ?,"dbr:Al_Gore_presidential_campaign,_2000 >> dbo:incumbent >> [ANS] [SEP] dbr:Mike_McCurry_(press_secretary) >> dbo:president >> [ANS]"
translate question to dbpedia path: What software is developed by GNOWSYS and is licensed by Frontaccounting?,dbr:Frontaccounting >> dbo:license >> [ANS] [SEP] dbr:GNOWSYS >> dbo:developer >> [ANS]
translate question to dbpedia path: Which admin center of pulau Ujong is also the largest city of Pulau Ubin ?,dbr:Pulau_Ubin >> dbo:largestCity >> [ANS] [SEP] dbr:Pulau_Ujong >> dbo:capital >> [ANS]
translate question to dbpedia path: What is the parent company of PrivateCore?,[ANS] >> dbo:subsidiary >> dbr:PrivateCore
translate question to dbpedia path: Name the scientist whose supervisor was John Robert Woodyard and has won Norbert Wiener Award for Social and Professional Responsibility?,[ANS] >> dbp:doctoralAdvisor >> dbr:John_Robert_Woodyard [SEP] [ANS] >> dbp:prizes >> dbr:Norbert_Wiener_Award_for_Social_and_Professional_Responsibility [SEP] [ANS] >> rdf:type >> dbo:Scientist
translate question to dbpedia path: Name the river with mouth palce Essex and source place as Gloucestershire ?,[ANS] >> dbo:mouthPlace >> dbr:Essex [SEP] [ANS] >> dbo:sourcePlace >> dbr:Gloucestershire [SEP] [ANS] >> rdf:type >> dbo:River
translate question to dbpedia path: In which province was Dick Redding born?,dbr:Dick_Redding >> dbp:birthDate >> [ANS]
translate question to dbpedia path: What awards have been awarded both to Ingmar bergman and James O'Brien?,dbr:Ingmar_Bergman >> dbp:awards >> [ANS] [SEP] dbr:James_F._O'Brien >> dbo:award >> [ANS]
translate question to dbpedia path: Count the number of characters of the play whose one of the character is Catwoman ?,COUNT >> [VAR1] >> dbp:characters >> [ANS] [SEP] [VAR1] >> dbp:characters >> dbr:Catwoman
translate question to dbpedia path: Where else did the graduates of the university of west indies study?,[VAR1] >> dbo:institution >> dbr:University_of_the_West_Indies [SEP] [VAR1] >> dbp:almaMater >> [ANS]
translate question to dbpedia path: Does NOAAS Davidson (S 331) have a homeport in Seattle?,ASK >> dbr:NOAAS_Davidson_(S_331) >> dbo:homeport >> dbr:Seattle
translate question to dbpedia path: List down the schools whose mascot is an animal from the order of Even toed Ungulates?,[ANS] >> dbp:programmingLanguage >> [VAR1] [SEP] [ANS] >> rdf:type >> dbo:School [SEP] [VAR1] >> dbp:designer >> dbr:Bjarne_Stroustrup
translate question to dbpedia path: Count the number of cities on the Mediterranean Sea?,COUNT >> dbr:Mediterranean_Sea >> dbp:cities >> [ANS]
translate question to dbpedia path: What non fiction subjects are covered in books by Doubleday publishers?,[VAR1] >> dbo:nonFictionSubject >> [ANS] [SEP] [VAR1] >> dbo:publisher >> dbr:Doubleday_(publisher) [SEP] [VAR1] >> rdf:type >> dbo:Book
translate question to dbpedia path: Name the death location of Judson Huss ?,dbr:Judson_Huss >> dbp:deathPlace >> [ANS]
translate question to dbpedia path: What are the movies whose musicians's home town is Volos?,[ANS] >> dbp:music >> [VAR1] [SEP] [ANS] >> rdf:type >> dbo:Film [SEP] [VAR1] >> dbo:hometown >> dbr:Volos
translate question to dbpedia path: What is the affiliation of tani University ?,dbr:Ōtani_University >> dbp:affiliation >> [ANS]
translate question to dbpedia path: What is the base currency of Benelux ?,dbr:Benelux >> dbp:currency >> [ANS]
translate question to dbpedia path: What foundation palce of Temenos Group is the death palce of jerzy Jzef Poocki ?,dbr:Jerzy_Józef_Potocki >> dbp:placeOfDeath >> [ANS] [SEP] dbr:Temenos_Group >> dbp:foundation >> [ANS]
translate question to dbpedia path: Give me a count of the services by the company which provides Data center as the services ?,COUNT >> [VAR1] >> dbp:services >> [ANS] [SEP] [VAR1] >> dbp:services >> dbr:Data_center_services
translate question to dbpedia path: Who discovered Europa and Callisto?,dbr:Callisto_(moon) >> dbo:discoverer >> [ANS] [SEP] dbr:Europa_(moon) >> dbp:discoverer >> [ANS]
translate question to dbpedia path: Which company offer service of Outlook.com and OneDrive?,[ANS] >> dbp:services >> dbr:OneDrive [SEP] [ANS] >> dbp:services >> dbr:Outlook.com [SEP] [ANS] >> rdf:type >> dbo:Company
translate question to dbpedia path: Scientists at the University of Queensland have won which awards?,[VAR1] >> dbo:almaMater >> dbr:University_of_Queensland [SEP] [VAR1] >> dbp:awards >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Scientist
translate question to dbpedia path: Which body governs over the place made by the chumash people?,[VAR1] >> dbo:governingBody >> [ANS] [SEP] [VAR1] >> dbp:architect >> dbr:Chumash_people [SEP] [VAR1] >> rdf:type >> dbo:Place
translate question to dbpedia path: What is the religion of the ethnic group to which the relatives of Waxiang people belong?,[VAR1] >> dbo:religion >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:EthnicGroup [SEP] dbr:Waxiang_people >> dbp:related >> [VAR1]
translate question to dbpedia path: Did Alexander Magleby study at the Dartmouth College?,ASK >> dbr:Alexander_Magleby >> dbo:university >> dbr:Dartmouth_College
"translate question to dbpedia path: Name the office holder whose constituency is Noe Valley, San Francisco and belongs to military unit USS Kittiwake (ASR-13)?","[ANS] >> dbo:militaryUnit >> dbr:USS_Kittiwake_(ASR-13) [SEP] [ANS] >> dbp:constituency >> dbr:Noe_Valley,_San_Francisco [SEP] [ANS] >> rdf:type >> dbo:OfficeHolder"
translate question to dbpedia path: Where is the south shore plaza located?,dbr:South_Shore_Plaza >> dbp:address >> [ANS]
"translate question to dbpedia path: What are the resting places of the associates of John Betts a, Connecticut politician?",[VAR1] >> dbo:restingPlace >> [ANS] [SEP] dbr:John_Betts_(Connecticut_politician) >> dbo:associate >> [VAR1]
translate question to dbpedia path: Waddy wachtel did the music for what movies?,[ANS] >> dbp:music >> dbr:Waddy_Wachtel [SEP] [ANS] >> rdf:type >> dbo:Film
translate question to dbpedia path: Was the  2d Command and Control Squadron barracked in Colorado?,ASK >> dbr:2d_Command_and_Control_Squadron >> dbo:garrison >> dbr:Colorado
translate question to dbpedia path: Whose military unit is 39th infantry regiment in 1812?,[ANS] >> dbo:militaryUnit >> dbr:39th_Infantry_Regiment_(War_of_1812)
translate question to dbpedia path: Which boarder country of Korean Peninsula was the state of Sodagreen ?,dbr:Korean_Peninsula >> dbo:border >> [ANS] [SEP] dbr:Sodagreen >> dbo:country >> [ANS]
translate question to dbpedia path: Spanish harlem incident was composed by whom ?,dbr:Spanish_Harlem_Incident >> dbo:composer >> [ANS]
translate question to dbpedia path: What sports are played at universities affiliated by States Colleges and Universities athletic association?,[VAR1] >> dbo:affiliation >> dbr:State_Colleges_and_Universities_Athletic_Association [SEP] [VAR1] >> dbo:sport >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:University
translate question to dbpedia path: EU Broadcasting Union is the owner of the distributor of what?,[ANS] >> dbo:distributor >> [VAR1] [SEP] [VAR1] >> dbp:owner >> dbr:European_Broadcasting_Union
translate question to dbpedia path: How many people were drafted in the LA Clippers?,COUNT >> [ANS] >> dbp:draftTeam >> dbr:Los_Angeles_Clippers [SEP] [ANS] >> rdf:type >> dbo:Person
translate question to dbpedia path: Who is the musical artist worked for labels Celluloid Records and Victor Entertainment?,[ANS] >> dbp:label >> dbr:Celluloid_Records [SEP] [ANS] >> dbp:label >> dbr:Victor_Entertainment [SEP] [ANS] >> rdf:type >> dbo:MusicalArtist
translate question to dbpedia path: Which founding cities of Young Americans Bank is also the location of Denver Broncos ?,dbr:Denver_Broncos >> dbo:locationCity >> [ANS] [SEP] dbr:Young_Americans_Bank >> dbp:foundation >> [ANS]
translate question to dbpedia path: Which famous physicist was academically advised by Benjamin Pulleyn?,[ANS] >> dbo:academicAdvisor >> dbr:Benjamin_Pulleyn [SEP] [ANS] >> rdf:type >> dbo:Scientist
translate question to dbpedia path: Which prospect team of Robin Kovacs is the draft team of Bob MacMillan ?,dbr:Bob_MacMillan >> dbp:draftTeam >> [ANS] [SEP] dbr:Robin_Kovacs >> dbp:prospectTeam >> [ANS]
translate question to dbpedia path: Terry Pratchett has written about how many topics?,COUNT >> [VAR1] >> dbo:nonFictionSubject >> [ANS] [SEP] [VAR1] >> dbp:author >> dbr:Terry_Pratchett
translate question to dbpedia path: Which shows theme music is composed by a band which has Larry Lalonde in it?,[ANS] >> dbp:themeMusicComposer >> [VAR1] [SEP] [ANS] >> rdf:type >> dbo:TelevisionShow [SEP] [VAR1] >> dbo:bandMember >> dbr:Larry_LaLonde
"translate question to dbpedia path: Which indian party has won the arunachal pradesh elections of 2014, and has been in the 4th legislative assembly?","dbr:Arunachal_Pradesh_Legislative_Assembly_election,_2014 >> dbp:party >> [ANS] [SEP] dbr:Fourth_Legislative_Assembly_of_Delhi >> dbp:party >> [ANS]"
translate question to dbpedia path: Who are the former partners of the figure skaters whose performance have been choreographed by Catarina Lindgren in the past?,[VAR1] >> dbo:formerChoreographer >> dbr:Catarina_Lindgren [SEP] [VAR1] >> dbo:formerPartner >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:FigureSkater
translate question to dbpedia path: In how many regions is English American spoken?,COUNT >> dbr:English_Americans >> dbp:region >> [ANS]
translate question to dbpedia path: Which baseball team is owned by Robert Nutting?,[ANS] >> dbp:owner >> dbr:Robert_Nutting [SEP] [ANS] >> rdf:type >> dbo:BaseballTeam
translate question to dbpedia path: What religion did Gamini Seneviratne follow?,dbr:Gamini_Seneviratne >> dbo:religion >> [ANS]
translate question to dbpedia path: Which fictional character is portrayed by Roger Barton (film editor)?,[ANS] >> dbp:portrayer >> dbr:Roger_Barton_(film_editor) [SEP] [ANS] >> rdf:type >> dbo:FictionalCharacter
translate question to dbpedia path: who are all the people who have managed the England's under 20 soccer team?,[ANS] >> dbo:managerClub >> dbr:England_national_under-20_football_team
"translate question to dbpedia path: Give the name of the river with source place as Australian Alps and has mouth place as Goolwa , a place in Siyuth Australia ?","[ANS] >> dbo:mouthPlace >> dbr:Goolwa,_South_Australia [SEP] [ANS] >> dbo:sourcePlace >> dbr:Australian_Alps [SEP] [ANS] >> rdf:type >> dbo:River"
translate question to dbpedia path: Where were the doctoral students of James Langer born?,[VAR1] >> dbp:placeOfBirth >> [ANS] [SEP] dbr:James_S._Langer >> dbo:doctoralStudent >> [VAR1]
translate question to dbpedia path: Who has military branches are Colonial troops and Continental Army?,[ANS] >> dbo:militaryBranch >> dbr:Colonial_troops [SEP] [ANS] >> dbo:militaryBranch >> dbr:Continental_Army
translate question to dbpedia path: Whose shrine is in aachen cathedral?,[ANS] >> dbp:majorShrine >> dbr:Aachen_Cathedral
translate question to dbpedia path: What religions do politicians in the Korean Minjoo Party follow?,[VAR1] >> dbo:party >> dbr:Minjoo_Party_of_Korea [SEP] [VAR1] >> dbo:religion >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:OfficeHolder
translate question to dbpedia path: What are the other band members of the band one of whose current member is Robert De Niro?,[VAR1] >> dbo:bandMember >> [ANS] [SEP] [VAR1] >> dbp:currentMembers >> dbr:Robert_De_Niro [SEP] [VAR1] >> rdf:type >> dbo:Band
translate question to dbpedia path: Which peak was first scaled by Krzysztof Wielicki?,[ANS] >> dbo:firstAscentPerson >> dbr:Krzysztof_Wielicki
translate question to dbpedia path: Give me the total number of Guests of the television episodes whose one of the  Guests is Michael Cristofer?,COUNT >> [VAR1] >> dbp:guests >> [ANS] [SEP] [VAR1] >> dbp:guests >> dbr:Michael_Cristofer
translate question to dbpedia path: How many factions were fighting in the wars where Blue Jacket was a commander?,COUNT >> [VAR1] >> dbp:combatant >> [ANS] [SEP] [VAR1] >> dbp:commander >> dbr:Blue_Jacket
translate question to dbpedia path: who was the president under which Joe Purcell is a lieutenant?,[ANS] >> dbo:lieutenant >> dbr:Joe_Purcell
"translate question to dbpedia path: Which headcoach of Marquette Golden Eagles men's basketball team, 2008-09 was also the coach of Marquette Golden Eagles team ?",dbr:2008–09_Marquette_Golden_Eagles_men's_basketball_team >> dbp:headcoach >> [ANS] [SEP] dbr:2013–14_Marquette_Golden_Eagles_men's_basketball_team >> dbo:coach >> [ANS]
translate question to dbpedia path: List the state of the universities whose nation is United States ?,[VAR1] >> dbo:country >> dbr:United_States [SEP] [VAR1] >> dbo:state >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:University
translate question to dbpedia path: What city is the place of birth of Alexander Morozevich which is also the official residence of Dmitri Nossov ?,dbr:Alexander_Morozevich >> dbo:birthPlace >> [ANS] [SEP] dbr:Dmitri_Nossov >> dbp:residence >> [ANS]
translate question to dbpedia path: What is the television show whose executive producer is Steven Peterman?,[ANS] >> dbp:executiveProducer >> dbr:Steven_Peterman [SEP] [ANS] >> rdf:type >> dbo:TelevisionShow
translate question to dbpedia path: Which military battles are associated with Israel?,[ANS] >> dbo:place >> dbr:Israel [SEP] [ANS] >> rdf:type >> dbo:MilitaryConflict
translate question to dbpedia path: What are some magazines whose publishers are themselves Rock and Roll Hall of Fame members?,[ANS] >> dbo:publisher >> [VAR1] [SEP] [ANS] >> rdf:type >> dbo:Magazine [SEP] [VAR1] >> dbo:award >> dbr:Rock_and_Roll_Hall_of_Fame
translate question to dbpedia path: What are the veneration of the one for which there's a major shrine in Hebron?,[VAR1] >> dbp:majorShrine >> dbr:Hebron [SEP] [VAR1] >> dbp:veneratedIn >> [ANS]
translate question to dbpedia path: What is the home town of the band which is the artist of Your Ice Cream's Dirty ?,[VAR1] >> dbo:hometown >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Band [SEP] dbr:Your_Ice_Cream's_Dirty >> dbp:artist >> [VAR1]
translate question to dbpedia path: Who is the chancellor of the university which affiliates the Dartington College of Arts?,[VAR1] >> dbp:affiliations >> dbr:Dartington_College_of_Arts [SEP] [VAR1] >> dbp:chancellor >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:University
translate question to dbpedia path: What is the nationality of Sune Agerschou ?,dbr:Sune_Agerschou >> dbo:nationality >> [ANS]
translate question to dbpedia path: What is the PLACE OF DEATH of Charles Gordon (artist) ?,dbr:Charles_Gordon_(artist) >> dbp:placeOfDeath >> [ANS]
translate question to dbpedia path: Namt the fields of Paul Demiville ?,dbr:Paul_Demiéville >> dbp:fields >> [ANS]
translate question to dbpedia path: Which battle is Jim Jones associated with to which Allen Boyd is also associated ?,dbr:Allen_Boyd >> dbp:battles >> [ANS] [SEP] dbr:Jim_Jones_(judge) >> dbo:battle >> [ANS]
translate question to dbpedia path: Who all have been canonized by Pope Paul VI,[ANS] >> dbp:canonizedBy >> dbr:Pope_Paul_VI
translate question to dbpedia path: Where is the tombstone of the congressman who died in the McLean hospital?,[VAR1] >> dbo:deathPlace >> dbr:McLean_Hospital [SEP] [VAR1] >> dbp:restingplace >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Congressman
translate question to dbpedia path: What is written in a programming language developed by GNOME Project?,[ANS] >> dbp:programmingLanguage >> [VAR1] [SEP] [VAR1] >> dbp:developer >> dbr:The_GNOME_Project
translate question to dbpedia path: Which race is the  Best Mate is also the race of the Martin Molony?,dbr:Best_Mate >> dbp:race >> [ANS] [SEP] dbr:Martin_Molony >> dbo:race >> [ANS]
translate question to dbpedia path: Where is the building located whose architect was Francis Palmer Smith?,[VAR1] >> dbo:architect >> dbr:Francis_Palmer_Smith [SEP] [VAR1] >> dbp:address >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Building
translate question to dbpedia path: Who operates the bridges designed by Malaysian PWD?,[VAR1] >> dbo:maintainedBy >> [ANS] [SEP] [VAR1] >> dbp:designer >> dbr:Malaysian_Public_Works_Department [SEP] [VAR1] >> rdf:type >> dbo:Bridge
translate question to dbpedia path: Where was the person born whose successor was Le Hong Phong?,[VAR1] >> dbp:birthPlace >> [ANS] [SEP] [VAR1] >> dbp:successor >> dbr:Lê_Hồng_Phong
translate question to dbpedia path: In which race did Coneygree the racehorse and Fergie Sutherland the horse trainer participate?,dbr:Coneygree >> dbp:race >> [ANS] [SEP] dbr:Fergie_Sutherland >> dbp:race >> [ANS]
translate question to dbpedia path: List all important people of the non profit organization which has Hilary Clinton as a key person ?,[VAR1] >> dbp:keyPeople >> [ANS] [SEP] [VAR1] >> dbp:keyPeople >> dbr:Hillary_Clinton [SEP] [VAR1] >> rdf:type >> dbo:Non-ProfitOrganisation
translate question to dbpedia path: List the school of Bobby Skinstad?,dbr:Bobby_Skinstad >> dbp:school >> [ANS]
translate question to dbpedia path: Was Lionel Messi a member  of the 2009 FIFA World Cup squads?,ASK >> dbr:2009_FIFA_Club_World_Cup_squads >> dbo:currentMember >> dbr:Lionel_Messi
translate question to dbpedia path: Was Writings and Drawings illustrated by Bob Dylan?,ASK >> dbr:Writings_and_Drawings >> dbp:illustrator >> dbr:Bob_Dylan
translate question to dbpedia path: Count all the universities who participated in the tournament won by Alabama Crimson Tides in 2015 ?,COUNT >> [ANS] >> dbp:athletics >> [VAR1] [SEP] [ANS] >> rdf:type >> dbo:University [SEP] [VAR1] >> dbp:champion >> dbr:2015_Alabama_Crimson_Tide_football_team
translate question to dbpedia path: Was the Lotuspool Records distributed by Napster?,ASK >> dbr:Lotuspool_Records >> dbo:distributingLabel >> dbr:Napster
"translate question to dbpedia path: List the base currency of the country whose anthem is Oj, svijetla majska zoro.","[VAR1] >> dbo:anthem >> dbr:Oj,_svijetla_majska_zoro [SEP] [VAR1] >> dbp:currency >> [ANS]"
translate question to dbpedia path: What magazine is Marritt Cabal known for which has Lucifer Hammer as publisher ?,dbr:Lucifer's_Hammer >> dbo:publisher >> [ANS] [SEP] dbr:Merritt_Cabal >> dbo:knownFor >> [ANS]
translate question to dbpedia path: Name the parent company of Ford Falcon Cobra ?,dbr:Ford_Falcon_Cobra >> dbo:parentCompany >> [ANS]
translate question to dbpedia path: How many players are in the San Francisco Giants?,COUNT >> [ANS] >> dbo:team >> dbr:San_Francisco_Giants [SEP] [ANS] >> rdf:type >> dbo:Athlete
translate question to dbpedia path: Which place of Geography Club is the location of Seattle Great Wheel ?,dbr:Geography_Club_(play) >> dbp:place >> [ANS] [SEP] dbr:Seattle_Great_Wheel >> dbp:locationTown >> [ANS]
translate question to dbpedia path: How many races has Best Mate won?,COUNT >> dbr:Best_Mate >> dbp:race >> [ANS]
translate question to dbpedia path: Which governor of Charles Willing had a child named John Scott ?,[ANS] >> dbo:child >> dbr:John_Scott_Harrison [SEP] [ANS] >> dbo:governor >> dbr:Charles_Willing_Byrd
translate question to dbpedia path: List the relatives of Lyubov Dostoyevskaya ?,dbr:Lyubov_Dostoyevskaya >> dbp:relatives >> [ANS]
translate question to dbpedia path: What is the military rank of the important commander of Peruvian Army?,[VAR1] >> dbo:militaryRank >> [ANS] [SEP] dbr:Peruvian_Army >> dbo:notableCommander >> [VAR1]
translate question to dbpedia path: Do the west coast airlines fly to seattle?,ASK >> dbr:West_Coast_Airlines >> dbo:targetAirport >> dbr:Seattle
"translate question to dbpedia path: Which units are garrisoned at Arlington County, Virginia?","[ANS] >> dbo:garrison >> dbr:Arlington_County,_Virginia"
translate question to dbpedia path: In how many different places have ehtics philosophers died?,COUNT >> [ANS] >> rdf:type >> dbo:Place [SEP] [VAR1] >> dbp:mainInterests >> dbr:Ethics [SEP] [VAR1] >> dbp:placeOfDeath >> [ANS]
translate question to dbpedia path: Who is the fictional character who starred in The Dognapper?,[ANS] >> dbo:voice >> dbr:The_Dognapper [SEP] [ANS] >> rdf:type >> dbo:FictionalCharacter
translate question to dbpedia path: Who is the developer of Dart (programming language) ?,dbr:Dart_(programming_language) >> dbp:developer >> [ANS]
translate question to dbpedia path: Which house has published books about Jazz?,[VAR1] >> dbo:nonFictionSubject >> dbr:Jazz [SEP] [VAR1] >> dbo:publisher >> [ANS] [SEP] [VAR1] >> rdf:type >> dbo:Book
translate question to dbpedia path: Which person naratted The Incredible Hulk and also the writer of Tales of Suspense ?,dbr:Tales_of_Suspense >> dbp:writers >> [ANS] [SEP] dbr:The_Incredible_Hulk_(1982_TV_series) >> dbp:narrated >> [ANS]
translate question to dbpedia path: Who are the parents of writers born and bred in Buckinghamshire?,[VAR1] >> dbo:parent >> [ANS] [SEP] [VAR1] >> dbp:homeTown >> dbr:Buckinghamshire [SEP] [VAR1] >> rdf:type >> dbo:Writer
translate question to dbpedia path: List down the common sports played by PATTS College of Aeronautics and lytechnic University of the Philippines Taguig ?,dbr:PATTS_College_of_Aeronautics >> dbp:athletics >> [ANS] [SEP] dbr:Polytechnic_University_of_the_Philippines_Taguig >> dbo:sport >> [ANS]
translate question to dbpedia path: How many companies have built concrete bridges?,COUNT >> [VAR1] >> dbo:builder >> [ANS] [SEP] [VAR1] >> dbp:material >> dbr:Concrete
translate question to dbpedia path: How many movies have been directed by almunies of Parsons School of Design?,COUNT >> [ANS] >> dbo:director >> [VAR1] [SEP] [ANS] >> rdf:type >> dbo:Film [SEP] [VAR1] >> dbp:education >> dbr:Parsons_School_of_Design
translate question to dbpedia path: Count the number of  sport played by the school which also plays Association football ?,COUNT >> [VAR1] >> dbo:sport >> [ANS] [SEP] [VAR1] >> dbo:sport >> dbr:Association_football
translate question to dbpedia path: Which countries militaries fought the SFOR battle?,[VAR1] >> dbo:battle >> [ANS] [SEP] [VAR1] >> dbp:battles >> dbr:SFOR [SEP] [VAR1] >> rdf:type >> dbo:MilitaryPerson
translate question to dbpedia path: List the people died in Hyderabad and are a member of political party ?,[VAR1] >> dbo:deathPlace >> dbr:Hyderabad [SEP] [VAR1] >> dbo:party >> [ANS]
"translate question to dbpedia path: What is the american football league whose champion is from Kansas City, Missouri?","[ANS] >> dbp:champion >> [VAR1] [SEP] [ANS] >> rdf:type >> dbo:AmericanFootballLeague [SEP] [VAR1] >> dbp:city >> dbr:Kansas_City,_Missouri"
translate question to dbpedia path: How many thesis were supervised by Ernest Rutherford?,COUNT >> [ANS] >> dbo:doctoralAdvisor >> dbr:Ernest_Rutherford
"translate question to dbpedia path: Who is the publisher of the comic, one of whose authors is Kentaro Takekuma ?",[VAR1] >> dbp:publisher >> [ANS] [SEP] [VAR1] >> dbp:writers >> dbr:Kentaro_Takekuma [SEP] [VAR1] >> rdf:type >> dbo:Comic
translate question to dbpedia path: List the scientists whose doctoral advisor is Ernest Rutherford and are known for Manhattan Project?,[ANS] >> dbo:doctoralAdvisor >> dbr:Ernest_Rutherford [SEP] [ANS] >> dbp:knownFor >> dbr:Manhattan_Project [SEP] [ANS] >> rdf:type >> dbo:Scientist
translate question to dbpedia path: Where is the garrison of Western Naval Command ?,dbr:Western_Naval_Command >> dbp:garrison >> [ANS]
translate question to dbpedia path: What is the political party of the of Bengalis ?,[VAR1] >> dbo:ethnicity >> dbr:Bengalis [SEP] [VAR1] >> dbo:party >> [ANS]
translate question to dbpedia path: Was John of Damascus canonized by Anglican Communion?,ASK >> dbr:John_of_Damascus >> dbp:canonizedBy >> dbr:Anglican_Communion
translate question to dbpedia path: Which city's mayor is married to Jean Marc Germain?,[ANS] >> dbp:mayor >> [VAR1] [SEP] [VAR1] >> dbp:spouse >> dbr:Jean-Marc_Germain
translate question to dbpedia path: Which person's successor is Samsu-iluna?,[ANS] >> dbo:successor >> dbr:Samsu-iluna [SEP] [ANS] >> rdf:type >> dbo:Person
translate question to dbpedia path: Where do the sister stations of Al Khaleejiya 100.9 play?,[VAR1] >> dbp:location >> [ANS] [SEP] [VAR1] >> dbp:sisterStations >> dbr:Al_Khaleejiya_100.9
translate question to dbpedia path: Name the sports played by Jamiatu Muslim Mindanao?,dbr:Jamiatu_Muslim_Mindanao >> dbo:athletics >> [ANS]
translate question to dbpedia path: Was X the Unknown edited by James needs?,ASK >> dbr:X_the_Unknown >> dbo:editing >> dbr:James_Needs
translate question to dbpedia path: List the party of the office holder which also has the affiliation with Congress Socialist party ?,[VAR1] >> dbo:otherParty >> [ANS] [SEP] [VAR1] >> dbo:otherParty >> dbr:Congress_Socialist_Party [SEP] [VAR1] >> rdf:type >> dbo:OfficeHolder
translate question to dbpedia path: What is the nickname of the city where Tuba Dei lives?,[VAR1] >> dbp:nickname >> [ANS] [SEP] dbr:Tuba_Dei >> dbp:city >> [VAR1]
translate question to dbpedia path: From how many different places did the weapons used in the American Indian wars originate?,COUNT >> [ANS] >> rdf:type >> dbo:Place [SEP] [VAR1] >> dbo:usedInWar >> dbr:American_Indian_Wars [SEP] [VAR1] >> dbp:origin >> [ANS]
